Random,Handshake
0,5
5,5
6,6
7,7
7,12
8,13
9,14
9,19
10,20
11,21
12,22
12,27
13,28
13,33
14,34
15,35
15,40
15,45
15,50
16,51
16,56
16,61
17,62
17,67
18,68
18,73
19,74
19,79
19,84
19,89
20,90
20,95
21,96
22,97
22,102
22,107
22,112
22,117
22,122
23,123
23,128
24,129
25,130
26,131
27,132
28,133
29,134
30,135
31,136
32,137
33,138
33,143
33,148
34,149
35,150
36,151
36,156
37,157
37,162
37,167
37,172
37,177
38,178
38,183
39,184
39,189
40,190
41,191
41,196
41,201
41,206
42,207
42,212
43,213
43,218
44,219
44,224
45,225
45,230
45,235
46,236
47,237
47,242
47,247
47,252
47,257
48,258
49,259
49,264
50,265
51,266
51,271
51,276
52,277
52,282
53,283
54,284
54,289
55,290
55,295
