Random;Handshake
1;14;4
9;4
12;7
15;10
18;13
23;13
28;13
31;16
34;19
39;19
42;22
47;22
50;25
55;25
60;25
63;28
66;31
69;34
74;34
79;34
84;34
87;37
92;37
97;37
102;37
107;37
110;40
113;43
118;43
121;46
124;49
127;52
132;52
137;52
142;52
147;52
152;52
155;55
160;55
163;58
168;58
171;61
176;61
181;61
184;64
187;67
190;70
193;73
198;73
201;76
206;76
209;79
214;79
219;79
222;82
227;82
230;85
235;85
238;88
243;88
246;91
251;91
256;91
261;91
264;94
269;94
274;94
277;97
280;100
283;103
286;106
291;106
296;106
299;109
304;109
309;109
314;109
319;109
322;112
325;115
328;118
333;118
338;118
341;121
346;121
351;121
354;124
357;127
360;130
365;130
370;130
375;130
380;130
385;130
390;130
395;130
398;133
401;136
404;139
