Random;Pavlov
3;36;6
9;9
14;9
14;14
17;17
22;17
27;17
27;22
32;22
37;22
42;22
43;23
43;28
43;33
44;34
45;35
46;36
46;41
51;41
52;42
55;45
58;48
59;49
62;52
62;57
67;57
72;57
73;58
76;61
76;66
77;67
82;67
85;70
90;70
95;70
95;75
100;75
105;75
105;80
108;83
111;86
116;86
121;86
121;91
124;94
127;97
130;100
133;103
136;106
141;106
141;111
146;111
149;114
152;117
153;118
153;123
153;128
154;129
154;134
159;134
162;137
163;138
163;143
164;144
169;144
172;147
172;152
175;155
175;160
176;161
176;166
181;166
184;169
185;170
190;170
195;170
198;173
198;178
199;179
199;184
199;189
200;190
201;191
204;194
209;194
209;199
210;200
215;200
218;203
219;204
222;207
227;207
227;212
228;213
233;213
238;213
238;218
243;218
243;223
