Random,Random
1,1
4,4
9,4
9,9
9,14
14,14
19,14
24,14
25,15
30,15
31,16
32,17
33,18
36,21
36,26
41,26
41,31
41,36
42,37
43,38
48,38
49,39
50,40
53,43
58,43
61,46
62,47
63,48
64,49
65,50
68,53
71,56
74,59
75,60
80,60
83,63
84,64
84,69
89,69
94,69
95,70
100,70
103,73
106,76
106,81
107,82
107,87
112,87
115,90
116,91
121,91
122,92
127,92
132,92
137,92
138,93
139,94
139,99
144,99
147,102
152,102
155,105
160,105
160,110
161,111
166,111
166,116
171,116
174,119
175,120
175,125
178,128
178,133
181,136
182,137
185,140
185,145
190,145
191,146
191,151
192,152
197,152
197,157
197,162
197,167
198,168
198,173
198,178
203,178
208,178
208,183
209,184
209,189
210,190
211,191
214,194
214,199
219,199
220,200
220,205
