Random,TitForTatWithForgiveness
3,38,3
9,4
10,5
10,10
15,10
16,11
17,12
17,17
22,17
23,18
24,19
25,20
25,25
30,25
33,28
38,28
39,29
42,32
47,32
47,37
50,40
55,40
56,41
57,42
57,47
62,47
63,48
64,49
65,50
66,51
67,52
68,53
69,54
70,55
71,56
71,61
76,61
76,66
79,69
82,72
87,72
88,73
88,78
91,81
96,81
96,86
99,89
104,89
105,90
105,95
110,95
111,96
111,101
116,101
117,102
118,103
118,108
123,108
124,109
127,112
132,112
133,113
134,114
134,119
139,119
140,120
140,125
145,125
146,126
146,131
149,134
152,137
157,137
157,142
162,142
162,147
167,147
167,152
172,152
172,157
177,157
178,158
178,163
181,166
184,169
187,172
192,172
193,173
194,174
195,175
196,176
197,177
198,178
198,183
201,186
206,186
206,191
209,194
212,197
