Random;TitForTatWithForgiveness
5;06;1
6;6
11;6
16;6
16;11
21;11
24;14
29;14
30;15
31;16
32;17
33;18
33;23
36;26
41;26
42;27
42;32
45;35
48;38
51;41
56;41
56;46
59;49
62;52
65;55
68;58
73;58
73;63
78;63
78;68
81;71
86;71
87;72
87;77
92;77
92;82
95;85
100;85
101;86
102;87
102;92
105;95
108;98
111;101
114;104
119;104
120;105
121;106
122;107
122;112
125;115
130;115
130;120
133;123
136;126
139;129
144;129
145;130
145;135
150;135
150;140
153;143
158;143
158;148
161;151
164;154
169;154
174;154
174;159
179;159
179;164
182;167
187;167
188;168
188;173
193;173
194;174
194;179
199;179
199;184
202;187
207;187
210;190
213;193
218;193
219;194
220;195
220;200
223;203
228;203
228;208
231;211
236;211
237;212
242;212
242;217
245;220
250;220
250;225
