Random;TitForTat
5;05;5
10;5
10;10
15;10
15;15
18;18
23;18
23;23
28;23
28;28
31;31
36;31
37;32
37;37
42;37
43;38
43;43
48;43
48;48
53;48
54;49
55;50
56;51
57;52
57;57
60;60
65;60
66;61
66;66
71;66
72;67
72;72
75;75
78;78
81;81
86;81
87;82
87;87
90;90
95;90
95;95
98;98
103;98
104;99
105;100
106;101
107;102
107;107
112;107
112;112
115;115
120;115
121;116
122;117
122;122
127;122
128;123
128;128
131;131
134;134
137;137
140;140
143;143
146;146
149;149
152;152
155;155
160;155
161;156
161;161
164;164
169;164
169;169
174;169
175;170
176;171
177;172
177;177
182;177
182;182
187;182
187;187
190;190
195;190
196;191
196;196
199;199
204;199
205;200
206;201
207;202
208;203
208;208
213;208
214;209
214;214
217;217
220;220
223;223
