Random,TitForTat
5,0
5,5
8,8
13,8
13,13
18,13
18,18
21,21
26,21
26,26
29,29
34,29
34,34
37,37
42,37
43,38
43,43
46,46
49,49
52,52
57,52
57,57
60,60
63,63
66,66
69,69
72,72
77,72
77,77
80,80
83,83
88,83
88,88
93,88
93,93
98,93
99,94
99,99
102,102
107,102
108,103
108,108
113,108
114,109
114,114
119,114
120,115
120,120
125,120
126,121
127,122
128,123
129,124
129,129
132,132
135,135
140,135
141,136
141,141
144,144
149,144
149,149
154,149
155,150
156,151
156,156
161,156
161,161
164,164
169,164
169,169
172,172
175,175
178,178
183,178
183,183
188,183
189,184
190,185
191,186
192,187
192,192
195,195
200,195
200,200
205,200
206,201
207,202
207,207
212,207
213,208
214,209
214,214
217,217
220,220
223,223
228,223
229,224
230,225
231,226
