TitForTatWithForgiveness,Handshake
0,55,5
5,10
5,15
6,16
7,17
8,18
9,19
10,20
11,21
12,22
12,27
12,32
13,33
14,34
14,39
15,40
16,41
17,42
18,43
19,44
20,45
21,46
22,47
23,48
24,49
25,50
26,51
27,52
28,53
29,54
30,55
31,56
31,61
32,62
33,63
34,64
35,65
36,66
37,67
38,68
39,69
40,70
41,71
42,72
43,73
44,74
45,75
46,76
47,77
48,78
49,79
50,80
50,85
50,90
51,91
52,92
52,97
52,102
53,103
54,104
55,105
55,110
56,111
57,112
58,113
59,114
60,115
61,116
62,117
63,118
64,119
64,124
65,125
66,126
66,131
67,132
68,133
69,134
70,135
70,140
71,141
72,142
73,143
74,144
75,145
75,150
76,151
77,152
78,153
79,154
80,155
81,156
81,161
82,162
83,163
84,164
85,165
85,170
86,171
